"","condition","condition_subtype","group","IC50"
"3322","OC220225-SN0178","class 3",NA,NA
"3323","OC220225-SN0179","class 3",NA,NA
"3324","OC220225-SN0180","class 3",NA,NA
"3325","OC220225-SN0181","class 3",NA,NA
"3326","OC220225-SN0183","class 3",NA,NA
"3327","OC220225-SN0185","class 3",NA,NA
"3328","OC220225-SN0186","class 3",NA,NA
"3329","OC220225-SN0187","class 1",NA,NA
"3330","OC220225-SN0188","class 3",NA,NA
"3331","OC220225-SN0189","class 3",NA,NA
"3332","OC220225-SN0191","class 3",NA,NA
"3333","OC220225-SN0193","class 3",NA,NA
"3334","OC220225-SN0195","class 3",NA,NA
"3335","OC220225-SN0196","class 3",NA,NA
"3336","OC220225-SN0197","class 3",NA,NA
"3337","OC220225-SN0198","class 3",NA,NA
"3338","OC220225-SN0201","class 3",NA,NA
"3339","OC220225-SN0202","class 3",NA,NA
"3340","OC220225-SN0203","class 3",NA,NA
"3341","OC220225-SN0204","class 3",NA,NA
"3342","OC220225-SN0205","class 3",NA,NA
"3343","OC220225-SN0207","class 3",NA,NA
"3344","OC220225-SN0208","class 3",NA,NA
"3345","OC220225-SN0210","class 3",NA,NA
"3346","OC220225-SN0211","class 3",NA,NA
"3347","OC220225-SN0212","class 3",NA,NA
"3348","OC220225-SN0213","class 3",NA,NA
"3349","OC220225-SN0215","class 3",NA,NA
"3350","OC220225-SN0217","class 3",NA,NA
"3351","OC220225-SN0218","class 3",NA,NA
"3352","OC220225-SN0220","class 3",NA,NA
"3353","OC220225-SN0222","class 3",NA,NA
"3354","OC220225-SN0223","class 3",NA,NA
"3355","OC220225-SN0229","class 1",NA,NA
"3356","OC220225-SN0232","class 1",NA,NA
"3357","OC220225-SN0233","class 2",NA,NA
"3358","OC220225-SN0234","class 1",NA,NA
"3359","OC220225-SN0261","class 3",NA,NA
"3360","OC220225-SN0263","class 3",NA,NA
"3361","OC220225-SN0265","class 1",NA,NA
"3362","OC220225-SN0322","class 3",NA,NA
"3363","OC220225-SN0326","class 3",NA,NA
"3364","OC220225-SN0330","class 3",NA,NA
"3365","OC220225-SN0331","class 3",NA,NA
"3366","OC220225-SN0332","class 3",NA,NA
"3367","OC220225-SN0395","class 4",NA,NA
"3368","OC220225-SN0400","class 1",NA,NA
"3369","OC220302-SN0410","class 3",NA,NA
"3370","OC220302-SN0411","class 1",NA,NA
"3371","OC220302-SN0412","class 1",NA,NA
"3372","OC220302-SN0416","class 1",NA,NA
"3373","OC220302-SN0418","class 1",NA,NA
"3374","OC220302-SN0419","class 3",NA,NA
"3375","OC220302-SN0420","class 3",NA,NA
"3376","OC220302-SN0423","class 1",NA,NA
"3377","OC220302-SN0424","class 1",NA,NA
"3378","OC220302-SN0425","class 1",NA,NA
"3379","OC220302-SN0426","class 1",NA,NA
"3380","OC220302-SN0429","class 1",NA,NA
"3381","OC220302-SN0430","class 3",NA,NA
"3382","OC220302-SN0431","class 1",NA,NA
"3383","OC220302-SN0432","class 2",NA,NA
"3384","OC220302-SN0433","class 2",NA,NA
"3385","OC220302-SN0436","class 3",NA,NA
"3386","OC220302-SN0438","class 3",NA,NA
"3387","OC220302-SN0439","class 1",NA,NA
"3388","OC220302-SN0441","class 1",NA,NA
"3389","OC220302-SN0442","class 3",NA,NA
"3390","OC220302-SN0443","class 3",NA,NA
"3391","OC220302-SN0444","class 3",NA,NA
"3392","OC220302-SN0445","class 3",NA,NA
"3393","OC220302-SN0446","class 1",NA,NA
"3394","OC220302-SN0447","class 1",NA,NA
"3395","OC220302-SN0448","class 1",NA,NA
"3396","OC220302-SN0451","class 3",NA,NA
"3397","OC220302-SN0454","class 3",NA,NA
"3398","OC220302-SN0455","class 3",NA,NA
"3399","OC220302-SN0456","class 3",NA,NA
"3400","OC220302-SN0457","class 1",NA,NA
"3401","OC220302-SN0458","class 3",NA,NA
"3402","OC220302-SN0460","class 1",NA,NA
"3403","OC220302-SN0461","class 3",NA,NA
"3404","OC220302-SN0464","class 3",NA,NA
"3405","OC220302-SN0467","class 3",NA,NA
"3406","OC220302-SN0468","class 3",NA,NA
"3407","OC220302-SN0469","class 4",NA,NA
"3408","OC220302-SN0470","class 1",NA,NA
"3409","OC220302-SN0471","class 1",NA,NA
"3410","OC220302-SN0472","class 1",NA,NA
"3411","OC220302-SN0474","class 1",NA,NA
"3412","OC220302-SN0475","class 3",NA,NA
"3413","OC220302-SN0476","class 3",NA,NA
"3414","OC220302-SN0477","class 2",NA,NA
"3415","OC220302-SN0480","class 2",NA,NA
"3416","OC220302-SN0482","class 3",NA,NA
"3417","OC220302-SN0483","class 1",NA,NA
"3418","OC220302-SN0484","class 3",NA,NA
"3419","OC220302-SN0485","class 4",NA,NA
"3420","OC220302-SN0486","class 3",NA,NA
"3421","OC220302-SN0487","class 3",NA,NA
"3422","OC220302-SN0488","class 3",NA,NA
"3423","OC220302-SN0489","class 1",NA,NA
"3424","OC220302-SN0490","class 3",NA,NA
"3425","OC220302-SN0491","class 3",NA,NA
"3426","OC220302-SN0492","class 4",NA,NA
"3427","OC220302-SN0493","class 2",NA,NA
"3428","OC220302-SN0494","class 4",NA,NA
"3429","OC220302-SN0499","class 1",NA,NA
"3430","OC220302-SN0500","class 3",NA,NA
"3431","OC220302-SN0501","class 4",NA,NA
"3432","OC220302-SN0502","class 3",NA,NA
"3433","OC220302-SN0503","class 4",NA,NA
"3434","OC220302-SN0504","class 3",NA,NA
"3435","OC220302-SN0505","class 3",NA,NA
"3436","OC220302-SN0506","class 1",NA,NA
"3437","OC220302-SN0508","class 1",NA,NA
"3438","OC220302-SN0509","class 3",NA,NA
"3439","OC220302-SN0510","class 1",NA,NA
"3440","OC220302-SN0511","class 4",NA,NA
"3441","OC220302-SN0514","class 3",NA,NA
"3442","OC220302-SN0516","class 2",NA,NA
"3443","OC220302-SN0517","class 1",NA,NA
"3444","OC220302-SN0518","class 2",NA,NA
"3445","OC220302-SN0519","class 1",NA,NA
"3446","OC220302-SN0520","class 2",NA,NA
"3447","OC220302-SN0522","class 4",NA,NA
"3448","OC220302-SN0523","class 4",NA,NA
"3449","OC220302-SN0524","class 3",NA,NA
"3450","OC220302-SN0526","class 4",NA,NA
"3451","OC220302-SN0527","class 4",NA,NA
"3452","OC220302-SN0528","class 3",NA,NA
"3453","OC220302-SN0529","class 4",NA,NA
"3454","OC220302-SN0530","class 4",NA,NA
"3455","OC220302-SN0531","class 3",NA,NA
"3456","OC220302-SN0532","class 1",NA,NA
"3457","OC220302-SN0533","class 4",NA,NA
"3458","OC220302-SN0534","class 3",NA,NA
"3459","OC220302-SN0535","class 3",NA,NA
"3460","OC220302-SN0536","class 3",NA,NA
"3461","OC220302-SN0537","class 3",NA,NA
"3462","OC220302-SN0538","class 3",NA,NA
"3463","OC220302-SN0539","class 3",NA,NA
"3464","OC220302-SN0540","class 4",NA,NA
"3465","OC220302-SN0541","class 3",NA,NA
"3466","OC220302-SN0542","class 3",NA,NA
"3467","OC220302-SN0543","class 4",NA,NA
"3468","OC220302-SN0544","class 4",NA,NA
"3469","OC220302-SN0546","class 3",NA,NA
"3470","OC220302-SN0547","class 4",NA,NA
"3471","OC220302-SN0548","class 4",NA,NA
"3472","OC220302-SN0549","class 4",NA,NA
"3473","OC220302-SN0551","class 3",NA,NA
"3474","OC220302-SN0554","class 3",NA,NA
"3475","OC220302-SN0556","class 1",NA,NA
"3476","OC220302-SN0557","class 4",NA,NA
"3477","OC220302-SN0558","class 3",NA,NA
"3478","OC220302-SN0560","class 3",NA,NA
"3479","OC220302-SN0561","class 3",NA,NA
"3480","OC220302-SN0564","class 1",NA,NA
"3481","OC220302-SN0565","class 4",NA,NA
"3482","OC220302-SN0566","class 3",NA,NA
"3483","OC220302-SN0567","class 4",NA,NA
"3484","OC220302-SN0568","class 4",NA,NA
"3485","OC220302-SN0569","class 4",NA,NA
"3486","OC220302-SN0570","class 3",NA,NA
"3487","OC220302-SN0571","class 4",NA,NA
"3488","OC220302-SN0572","class 3",NA,NA
"3489","OC220302-SN0573","class 4",NA,NA
"3490","OC220302-SN0574","class 3",NA,NA
"3491","OC220302-SN0576","class 4",NA,NA
"3492","OC220302-SN0579","class 3",NA,NA
"3493","OC220302-SN0580","class 4",NA,NA
"3494","OC220302-SN0583","class 4",NA,NA
"3495","OC220302-SN0584","class 3",NA,NA
"3496","OC220302-SN0585","class 3",NA,NA
"3497","OC220302-SN0587","class 3",NA,NA
"3498","OC220302-SN0588","class 4",NA,NA
"3499","OC220302-SN0589","class 1",NA,NA
"3500","OC220302-SN0590","class 4",NA,NA
"3501","OC220302-SN0592","class 3",NA,NA
"3502","OC220302-SN0593","class 1",NA,NA
"3503","OC220302-SN0594","class 4",NA,NA
"3504","OC220302-SN0595","class 3",NA,NA
"3505","OC220302-SN0596","class 3",NA,NA
"3506","OC220302-SN0597","class 3",NA,NA
"3507","OC220302-SN0598","class 4",NA,NA
"3508","OC220302-SN0599","class 4",NA,NA
"3509","OC220302-SN0600","class 4",NA,NA
"3510","OC220302-SN0601","class 4",NA,NA
"3511","OC220302-SN0602","class 4",NA,NA
"3512","OC220302-SN0604","class 4",NA,NA
"3513","OC220302-SN0605","class 3",NA,NA
"3514","OC220302-SN0606","class 1",NA,NA
"3515","OC220302-SN0607","class 4",NA,NA
"3516","OC220302-SN0608","class 3",NA,NA
"3517","OC220302-SN0609","class 4",NA,NA
"3518","OC220302-SN0610","class 3",NA,NA
"3519","OC220302-SN0612","class 3",NA,NA
"3520","OC220302-SN0615","class 3",NA,NA
"3521","OC220302-SN0616","class 2",NA,NA
"3522","OC220302-SN0618","class 3",NA,NA
"3523","OC220302-SN0619","class 1",NA,NA
"3524","OC220302-SN0620","class 4",NA,NA
"3525","OC220302-SN0621","class 1",NA,NA
"3526","OC220302-SN0622","class 3",NA,NA
"3527","OC220302-SN0623","class 3",NA,NA
"3528","OC220302-SN0624","class 3",NA,NA
"3529","OC220302-SN0625","class 3",NA,NA
"3530","OC220302-SN0626","class 3",NA,NA
"3531","OC220302-SN0627","class 4",NA,NA
"3532","OC220302-SN0628","class 3",NA,NA
"3533","OC220302-SN0632","class 3",NA,NA
"3534","OC220302-SN0633","class 3",NA,NA
"3535","OC220302-SN0634","class 2",NA,NA
"3536","OC220302-SN0637","class 4",NA,NA
"3537","OC220302-SN0638","class 3",NA,NA
"3538","OC220302-SN0639","class 4",NA,NA
"3539","OC220302-SN0640","class 3",NA,NA
"3540","OC220302-SN0642","class 3",NA,NA
"3541","OC220302-SN0643","class 4",NA,NA
"3542","OC220302-SN0644","class 3",NA,NA
"3543","OC220302-SN0646","class 3",NA,NA
"3544","OC220302-SN0647","class 3",NA,NA
"3545","OC220302-SN0648","class 4",NA,NA
"3546","OC220302-SN0649","class 3",NA,NA
"3547","OC220302-SN0652","class 4",NA,NA
"3548","OC220302-SN0656","class 3",NA,NA
"3549","OC220302-SN0657","class 1",NA,NA
"3550","OC220302-SN0658","class 3",NA,NA
"3551","OC220302-SN0660","class 3",NA,NA
"3552","OC220302-SN0665","class 3",NA,NA
"3553","OC220302-SN0666","class 3",NA,NA
"3554","OC220302-SN0668","class 4",NA,NA
"3555","OC220302-SN0669","class 3",NA,NA
"3556","OC220302-SN0670","class 3",NA,NA
"3557","OC220302-SN0671","class 3",NA,NA
"3558","OC220302-SN0674","class 3",NA,NA
"3559","OC220302-SN0677","class 3",NA,NA
"3560","OC220302-SN0678","class 3",NA,NA
"3561","OC220302-SN0679","class 3",NA,NA
"3562","OC220302-SN0681","class 3",NA,NA
"3563","OC220302-SN0682","class 3",NA,NA
"3564","OC220302-SN0684","class 3",NA,NA
"3565","OC220302-SN0685","class 3",NA,NA
"3566","OC220302-SN0690","class 3",NA,NA
"3567","OC220302-SN0691","class 3",NA,NA
"3568","OC220302-SN0692","class 3",NA,NA
"3569","OC220302-SN0694","class 3",NA,NA
"3570","OC220302-SN0695","class 3",NA,NA
"3571","OC220302-SN0698","class 3",NA,NA
"3572","OC220302-SN0700","class 3",NA,NA
"3573","OC220302-SN0701","class 3",NA,NA
"3574","OC220302-SN0702","class 3",NA,NA
"3575","OC220302-SN0703","class 3",NA,NA
"3576","OC220302-SN0705","class 3",NA,NA
"3577","OC220302-SN0708","class 3",NA,NA
"3578","OC220302-SN0709","class 3",NA,NA
"3579","OC220302-SN0712","class 3",NA,NA
"3580","OC220302-SN0716","class 3",NA,NA
"3581","OC220302-SN0718","class 3",NA,NA
"3582","OC220302-SN0719","class 3",NA,NA
"3583","OC220302-SN0722","class 3",NA,NA
"3584","OC220302-SN0723","class 3",NA,NA
"3585","OC220302-SN0724","class 3",NA,NA
"3586","OC220302-SN0727","class 3",NA,NA
"3587","OC220302-SN0732","class 3",NA,NA
"3588","P17","class 2",NA,NA
"3589","P2B-1A10","class 1","A",0.186
"3590","P2B-2F6","class 3/class 2","D1",0.0312
"3591","P2C-1A3","class 2","C",0.133
"3592","P2C-1F11","class 1",NA,NA
"3593","P4A1","class 1","A",0.0438
"3594","P5A-2G9","class 1","A",0.0259
"3595","P5A-3A1","class 1","A",0.0794
"3596","REGN10933","class 1",NA,NA
"3597","REGN10987","class 3",NA,NA
"3598","S2A4",NA,"F2",NA
"3599","S2D106","class 2",NA,NA
"3600","S2E12","class 1","B",5e-04
"3601","S2H13","class 2","C",0.018
"3602","S2H14","class 1/class 4","F3",0.0589
"3603","S2H58","class 2",NA,NA
"3604","S2H97","class 4/class 3","E3",0.574
"3605","S2M11","class 2","C",0.0029
"3606","S2X16","class 2",NA,NA
"3607","S2X227","class 3",NA,NA
"3608","S2X259","class 4","F2",0.146
"3609","S2X35","class 4","F3",0.0286
"3610","S2X58","class 2",NA,NA
"3611","S304","class 4","F1",3.86
"3612","S309","class 3","E1",0.0509423076923077
"3613","TAU-1109",NA,"E2.2",NA
"3614","TAU-1115",NA,"E2.2",NA
"3615","TAU-2189",NA,"D1",NA
"3616","TAU-2220",NA,"E2.1",NA
"3617","TAU-2230","class 3","D1",1.04
"3618","TAU-2310","class 3","E3",5.57
"3619","WIBP-2B11","class 1","A",0.005
"3620","XG-017",NA,"A",NA
"3621","XG2v-004",NA,"E3",NA
"3622","XG2v-006","class 3","E2.2",0.843
"3623","XG2v-032",NA,"F2",NA
"3624","XG2v-033",NA,"F2",NA
"3625","XG2v-039","class 1","A",2.49
"3626","XG2v-045","class 2","C",0.00266
"3627","XG2v-052","class 3","D1",0.0363
"3628","XG2v-070","class 3","E2.1",7.1
"3629","XG2v-083","class 3","D1",1.8
"3630","XG2v-095","class 1","B",0.55
"3631","XG2v-098","class 1","A",0.0935
"3632","XG2v-126","class 1","B",0.0035
"3633","XGv-001","class 4","F1",6.24
"3634","XGv-003","class 2","C",NA
"3635","XGv-008",NA,"E2.2",NA
"3636","XGv-010","class 3","D1",0.00623
"3637","XGv-011","class 3","E2.1",0.0254
"3638","XGv-013","class 1","A",0.00988
"3639","XGv-014","class 3","E3",9.53
"3640","XGv-016","class 3","D2",0.00262
"3641","XGv-017","class 1","A",0.0164
"3642","XGv-018","class 4","F1",1.37
"3643","XGv-023","class 4","F1",0.551
"3644","XGv-024","class 4","F1",0.287
"3645","XGv-030","class 3","E2.2",5.09
"3646","XGv-032","class 4","F2",1.54
"3647","XGv-038","class 3","E2.2",2.52
"3648","XGv-039",NA,"F1",NA
"3649","XGv-040","class 1","A",0.223
"3650","XGv-047","class 3","D1",0.168
"3651","XGv-049","class 4","F1",7.34
"3652","XGv-050","class 1","B",0.00183
"3653","XGv-051","class 2","C",0.00175
"3654","XGv-052","class 2","C",0.0203
"3655","XGv-053",NA,"F2",NA
"3656","XGv-055","class 2","C",0.0287
"3657","XGv-056",NA,"F2",NA
"3658","XGv-057",NA,"F2",NA
"3659","XGv-072","class 3","E2.2",2.15
"3660","XGv-073","class 4","F1",0.49
"3661","XGv-074","class 3","D2",0.0931
"3662","XGv-080",NA,"E2.2",NA
"3663","XGv-094","class 3","E2.1",0.0767
"3664","XGv-097","class 2","C",0.0551
"3665","XGv-101",NA,"E2.2",NA
"3666","XGv-105",NA,"F2",NA
"3667","XGv-107","class 3","D2",0.0291
"3668","XGv-116","class 4","F3",0.063
"3669","XGv-124",NA,"F1",NA
"3670","XGv-152","class 2","C",0.0358
"3671","XGv-155","class 2","C",0.0255
"3672","XGv-157","class 4","F2",0.715
"3673","XGv-158","class 4","F2",0.354
"3674","XGv-159","class 4","F2",0.64
"3675","XGv-172","class 2","C",0.00944
"3676","XGv-174","class 3","E2.1",0.017
"3677","XGv-175","class 3","E2.1",0.0251
"3678","XGv-177","class 1","A",0.0773
"3679","XGv-179","class 3","E3",1.12
"3680","XGv-19","class 4","F1",6.23
"3681","XGv-191","class 3","D1",0.017
"3682","XGv-198","class 3","E2.2",0.0938
"3683","XGv-199","class 3","E2.1",0.182
"3684","XGv-20","class 3","E2.2",2.76
"3685","XGv-208","class 1","A",0.00373
"3686","XGv-212","class 3","E2.2",0.162
"3687","XGv-214","class 3","E2.1",0.134
"3688","XGv-225","class 1","A",0.0726
"3689","XGv-227","class 3","E2.1",0.291
"3690","XGv-232","class 2","C",0.00107
"3691","XGv-233","class 3","E2.1",0.26
"3692","XGv-235","class 3","E3",0.876
"3693","XGv-236","class 4","F2",0.253
"3694","XGv-250","class 3","D1",0.333
"3695","XGv-251","class 3","E2.2",0.302
"3696","XGv-252","class 4","F1",2.86
"3697","XGv-253","class 1","B",0.00222
"3698","XGv-261","class 1","A",0.00345
"3699","XGv-263","class 3","D1",0.00242
"3700","XGv-264","class 3","D2",0.00167
"3701","XGv-265","class 3","D2",0.00207
"3702","XGv-266","class 3","D2",0.00319
"3703","XGv-271",NA,"E2.2",NA
"3704","XGv-279","class 1","B",0.00548
"3705","XGv-282","class 3","D2",0.000456
"3706","XGv-284","class 3","E2.1",0.0215
"3707","XGv-285","class 3","D2",0.00461
"3708","XGv-286","class 3","D2",0.00131
"3709","XGv-287","class 3","D2",0.0204
"3710","XGv-288","class 3","D2",0.00185
"3711","XGv-289","class 3","D2",0.00115
"3712","XGv-290","class 3","D2",0.00475
"3713","XGv-291","class 3","D2",0.00243
"3714","XGv-292","class 3","D2",0.00473
"3715","XGv-293","class 3","D2",0.00112
"3716","XGv-294","class 3","D2",0.0037
"3717","XGv-295","class 3","D2",0.0019
"3718","XGv-296","class 3","D2",0.00311
"3719","XGv-297","class 3","D2",0.000632
"3720","XGv-298","class 1","A",0.0729
"3721","XGv-300","class 1","A",0.0732
"3722","XGv-301","class 1","A",0.0757
"3723","XGv-304","class 1","A",0.0816
"3724","XGv-305","class 4","F1",0.471
"3725","XGv-306","class 4","F1",0.442
"3726","XGv-311","class 4","F1",3.15
"3727","XGv-318","class 4","F1",4.31
"3728","XGv-324","class 2","C",0.00272
"3729","XGv-337","class 2","C",0.00161
"3730","XGv-343","class 2","C",0.0113
"3731","XGv-345","class 3","D1",0.0154
"3732","XGv-346","class 3","E2.1",0.654
"3733","XGv-347","class 1","B",0.000915
"3734","XGv-355","class 3","E3",2.86
"3735","XGv-360","class 4","F3",0.00635
"3736","XGv-380","class 3","E2.2",0.628
"3737","XGv-387","class 1","A",0.00318
"3738","XGv-390","class 4",NA,NA
"3739","XGv-401","class 3","E3",1.03
"3740","XGv-402","class 1","B",0.00855
"3741","XGv-404","class 1","A",0.169
"3742","XGv-405","class 1","A",0.077
"3743","XGv-409","class 1","B",0.0211
"3744","XGv-412",NA,"E1",NA
"3745","XGv-416","class 4","F2",2.13
"3746","XGv-418","class 3","E3",1.13
"3747","XGv-420","class 3","D1",0.0047
"3748","XGv-421","class 3","E1",0.0439
"3749","XGv-422","class 3","E3",0.394
